DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
761704404956741632,3XIE,JL4R2,Warning,2 (Moderate),no offence,Dangerous Driving - Backwards Driving,(10:27) In Pitlane
761704404956741632,3XIE,JL11R2,Final Warning ,1 (Minor),no offence,Chatting During Countdown,
728539160863834143,6ydg,CL11F6,Absolute Warning,3 (Major),no offence,Unsportsmanlike Conduct,swearing and talking to urist for incident
728539160863834143,6ydg,CL11S5,Final Warning,1 (Minor),no offence,Chatting During Countdown,
728539160863834143,6ydg,CL11F6,Final Warning,1 (Minor),no offence,Leaving Open Lanes,https://youtu.be/FsIl5dm5DBQ?t=1041
728539160863834143,6ydg,CL11F6,Grid Penalty,1 (Minor),1st offence,Chatting During race,
728539160863834143,6ydg,SL11R2,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb,(22:48) risk of drawing a penalty
728539160863834143,6ydg,CL8S1,Reminder,1 (Minor),no offence,Chatting During Countdown,  
728539160863834143,6ydg,CL11R1,Reminder,1 (Minor),no offence,Edging,
728539160863834143,6ydg,CL11R1,Reminder,1 (Minor),no offence,Leaving Open Lanes,
728539160863834143,6ydg,CL9S9,Reminder ,1 (Minor),no offence,Chatting Duirng Countdown,
728539160863834143,6ydg,SL11R1,Reminder 2,1 (Minor),no offence,Chatting During Countdown,2nd offence in same day
728539160863834143,6ydg,CL11R2,Warning,2 (Moderate),no offence,Edging,Second edging reminder in 2 races + huge crash
728539160863834143,6ydg,UL13R3,Warning,3 (Major),no offence,Leaving Race on manual DNF,can crash server
1115314282146578492,Alexey Drozdov,CL11S5,5s Penalty,3 (Major),1st offence,Targeting Driver On-Track,https://youtu.be/z_lE25L6Nhc?t=136
1115314282146578492,Alexey Drozdov,JL10R1,DQ,5 (Absolute),1st offence,Driving Backwards,
1115314282146578492,Alexey Drozdov,CL11R4,Final Warning ,2 (Moderate),no offence,Divebomb,
1115314282146578492,Alexey Drozdov,CL11S5,Grid Penalty,4 (Severe),1st offence,Conspiring infractions / Unsportsmanlike conduct,Bragging about targeting drivers on-track in lobby
1115314282146578492,Alexey Drozdov,CL7R8,Reminder,2 (Moderate),no offence,Agressive Driving,"Reminded to not battle with others by forcing them off track or cutting off into walls, gravel"
